CS211 Web Programming Used HTML Tag List,,
Group Name: (Choose a name for your group),,
Group Members:,,
Student 1 Name:,,Mohamed ashrf 
Student 1 ID: ,,223101341
Student 2 Name:,,MohamedHani
Student 2 ID:,,223101349
Student 3 Name:,,Ahmed Mahmoud
Studen 3 ID:,,223101323
,,"Implemented?
1=yes, empty=no"
HTML Tag,description,Assignment
<!--...-->,Defines a comment,
<!DOCTYPE> ,Defines the document type,
<!--...-->,,0
<!DOCTYPE>,,1
<a>,,1
<abbr>,,1
<acronym>,,0
<address>,,1
<applet>,,0
<area>,,0
<article>,,0
<aside>,,0
<audio>,,0
<b>,,0
<base>,,0
<basefont>,,0
<bdi>,,0
<bdo>,,0
<big>,,0
<blockquote>,,1
<body>,,1
<br>,,1
<button>,,1
<canvas>,,0
<caption>,,1
<center>,,0
<cite>,,1
<code>,,0
<col>,,1
<colgroup>,,1
<data>,,0
<datalist>,,0
<dd>,,1
<del>,,1
<details>,,1
<dfn>,,0
<dialog>,,0
<dir>,,0
<div>,,1
<dl>,,1
<dt>,,1
<em>,,1
<embed>,,0
<fieldset>,,1
<figcaption>,,1
<figure>,,1
<font>,,0
<footer>,,1
<form>,,1
<frame>,,0
<frameset>,,0
<h1> to <h6>,,1
<head>,,1
<header>,,1
<hr>,,1
<html>,,1
<i>,,0
<iframe>,,1
<img>,,1
<input>,,1
<ins>,,1
<kbd>,,0
<label>,,1
<legend>,,1
<li>,,1
<link>,,1
<main>,,1
<map>,,0
<mark>,,1
<meta>,,1
<meter>,,1
<nav>,,1
<noframes>,,0
<noscript>,,0
<object>,,0
<ol>,,0
<optgroup>,,0
<option>,,0
<output>,,0
<p>,,1
<param>,,0
<picture>,,0
<pre>,,1
<progress>,,1
<q>,,1
<rp>,,0
<rt>,,0
<ruby>,,0
<s>,,0
<samp>,,0
<script>,,1
<section>,,0
<select>,,0
<small>,,1
<source>,,1
<span>,,1
<strike>,,0
<strong>,,1
<style>,,0
<sub>,,0
<summary>,,1
<sup>,,0
<svg>,,0
<table>,,0
<tbody>,,0
<td>,,1
<template>,,0
<textarea>,,1
<tfoot>,,0
<th>,,1
<thead>,,1
<time>,,0
<title>,,1
<tr>,,1
<track>,,0
<tt>,,0
<u>,,0
<ul>,,1
<var>,,0
<video>,,1
<wbr>,,0
,Total,60
Grand Total,60,
